Number of planted triclusters: 50
Tricluster coverage: 4.43856%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


(68, 8, 5), X=[27,60,72,87,97,100,103,110,129,138,149,152,162,177,180,193,198,217,233,260,287,316,353,367,408,448,452,475,483,486,497,506,522,523,548,580,581,587,590,598,600,610,614,628,639,670,677,684,687,701,716,729,747,788,790,798,803,806,867,870,871,882,906,913,922,923,950,996], Y=[0,1,6,9,23,27,28,46], Z=[7,9,13,24,43], RowPattern=Constant, ColumnPattern=Constant, ContextPattern=Constant, %Missings=0, %Noise=0, %Errors=0 PlaidCoherency=None

Context: 7
X	y0	y1	y6	y9	y23	y27	y28	y46
x367	5	5	5	5	5	5	5	5
x408	5	5	5	5	5	5	5	5
x448	5	5	5	5	5	5	5	5
x452	5	5	5	5	5	5	5	5
x475	5	5	5	5	5	5	5	5
x483	5	5	5	5	5	5	5	5
x486	5	5	5	5	5	5	5	5
x497	5	5	5	5	5	5	5	5
x506	5	5	5	5	5	5	5	5
x522	5	5	5	5	5	5	5	5
x523	5	5	5	5	5	5	5	5
x548	5	5	5	5	5	5	5	5
x580	5	5	5	5	5	5	5	5
x581	5	5	5	5	5	5	5	5
x587	5	5	5	5	5	5	5	5
x590	5	5	5	5	5	5	5	5
x598	5	5	5	5	5	5	5	5
x600	5	5	5	5	5	5	5	5
x610	5	5	5	5	5	5	5	5
x614	5	5	5	5	5	5	5	5
x628	5	5	5	5	5	5	5	5
x639	5	5	5	5	5	5	5	5
x670	5	5	5	5	5	5	5	5
x677	5	5	5	5	5	5	5	5
x684	5	5	5	5	5	5	5	5
x687	5	5	5	5	5	5	5	5
x701	5	5	5	5	5	5	5	5
x716	5	5	5	5	5	5	5	5
x729	5	5	5	5	5	5	5	5
x747	5	5	5	5	5	5	5	5
x788	5	5	5	5	5	5	5	5
x790	5	5	5	5	5	5	5	5
x798	5	5	5	5	5	5	5	5
x803	5	5	5	5	5	5	5	5
x806	5	5	5	5	5	5	5	5
x867	5	5	5	5	5	5	5	5
x870	5	5	5	5	5	5	5	5
x871	5	5	5	5	5	5	5	5
x882	5	5	5	5	5	5	5	5
x906	5	5	5	5	5	5	5	5
x913	5	5	5	5	5	5	5	5
x922	5	5	5	5	5	5	5	5
x923	5	5	5	5	5	5	5	5
x950	5	5	5	5	5	5	5	5
x996	5	5	5	5	5	5	5	5

Context: 24
X	y0	y1	y6	y9	y23	y27	y28	y46
x27	5	5	5	5	5	5	5	5
x60	5	5	5	5	5	5	5	5
x72	5	5	5	5	5	5	5	5
x87	5	5	5	5	5	5	5	5
x97	5	5	5	5	5	5	5	5
x100	5	5	5	5	5	5	5	5
x103	5	5	5	5	5	5	5	5
x110	5	5	5	5	5	5	5	5
x129	5	5	5	5	5	5	5	5
x138	5	5	5	5	5	5	5	5
x149	5	5	5	5	5	5	5	5
x152	5	5	5	5	5	5	5	5
x162	5	5	5	5	5	5	5	5
x177	5	5	5	5	5	5	5	5
x180	5	5	5	5	5	5	5	5
x193	5	5	5	5	5	5	5	5
x198	5	5	5	5	5	5	5	5
x217	5	5	5	5	5	5	5	5
x233	5	5	5	5	5	5	5	5
x260	5	5	5	5	5	5	5	5
x287	5	5	5	5	5	5	5	5
x316	5	5	5	5	5	5	5	5
x353	5	5	5	5	5	5	5	5
x367	5	5	5	5	5	5	5	5
x408	5	5	5	5	5	5	5	5
x448	5	5	5	5	5	5	5	5
x452	5	5	5	5	5	5	5	5
x475	5	5	5	5	5	5	5	5
x483	5	5	5	5	5	5	5	5
x486	5	5	5	5	5	5	5	5
x497	5	5	5	5	5	5	5	5
x506	5	5	5	5	5	5	5	5
x522	5	5	5	5	5	5	5	5
x523	5	5	5	5	5	5	5	5
x548	5	5	5	5	5	5	5	5
x580	5	5	5	5	5	5	5	5
x581	5	5	5	5	5	5	5	5
x587	5	5	5	5	5	5	5	5
x590	5	5	5	5	5	5	5	5
x598	5	5	5	5	5	5	5	5
x600	5	5	5	5	5	5	5	5
x610	5	5	5	5	5	5	5	5
x614	5	5	5	5	5	5	5	5
x628	5	5	5	5	5	5	5	5
x639	5	5	5	5	5	5	5	5
x670	5	5	5	5	5	5	5	5
x677	5	5	5	5	5	5	5	5
x684	5	5	5	5	5	5	5	5
x687	5	5	5	5	5	5	5	5
x701	5	5	5	5	5	5	5	5
x716	5	5	5	5	5	5	5	5
x729	5	5	5	5	5	5	5	5
x747	5	5	5	5	5	5	5	5
x788	5	5	5	5	5	5	5	5
x790	5	5	5	5	5	5	5	5
x798	5	5	5	5	5	5	5	5
x803	5	5	5	5	5	5	5	5
x806	5	5	5	5	5	5	5	5
x867	5	5	5	5	5	5	5	5
x870	5	5	5	5	5	5	5	5
x871	5	5	5	5	5	5	5	5
x882	5	5	5	5	5	5	5	5
x906	5	5	5	5	5	5	5	5
x913	5	5	5	5	5	5	5	5
x922	5	5	5	5	5	5	5	5
x923	5	5	5	5	5	5	5	5
x950	5	5	5	5	5	5	5	5
x996	5	5	5	5	5	5	5	5

Context: 43
X	y0	y1	y6	y9	y23	y27	y28	y46
x27	5	5	5	5	5	5	5	5
x60	5	5	5	5	5	5	5	5
x72	5	5	5	5	5	5	5	5
x87	5	5	5	5	5	5	5	5
x97	5	5	5	5	5	5	5	5
x100	5	5	5	5	5	5	5	5
x103	5	5	5	5	5	5	5	5
x110	5	5	5	5	5	5	5	5
x129	5	5	5	5	5	5	5	5
x138	5	5	5	5	5	5	5	5
x149	5	5	5	5	5	5	5	5
x152	5	5	5	5	5	5	5	5
x162	5	5	5	5	5	5	5	5
x177	5	5	5	5	5	5	5	5
x180	5	5	5	5	5	5	5	5
x193	5	5	5	5	5	5	5	5
x198	5	5	5	5	5	5	5	5
x217	5	5	5	5	5	5	5	5
x233	5	5	5	5	5	5	5	5
x260	5	5	5	5	5	5	5	5
x287	5	5	5	5	5	5	5	5
x316	5	5	5	5	5	5	5	5
x353	5	5	5	5	5	5	5	5
x367	5	5	5	5	5	5	5	5
x408	5	5	5	5	5	5	5	5
x448	5	5	5	5	5	5	5	5
x452	5	5	5	5	5	5	5	5
x475	5	5	5	5	5	5	5	5
x483	5	5	5	5	5	5	5	5
x486	5	5	5	5	5	5	5	5
x497	5	5	5	5	5	5	5	5
x506	5	5	5	5	5	5	5	5
x522	5	5	5	5	5	5	5	5
x523	5	5	5	5	5	5	5	5
x548	5	5	5	5	5	5	5	5
x580	5	5	5	5	5	5	5	5
x581	5	5	5	5	5	5	5	5
x587	5	5	5	5	5	5	5	5
x590	5	5	5	5	5	5	5	5
x598	5	5	5	5	5	5	5	5
x600	5	5	5	5	5	5	5	5
x610	5	5	5	5	5	5	5	5
x614	5	5	5	5	5	5	5	5
x628	5	5	5	5	5	5	5	5
x639	5	5	5	5	5	5	5	5
x670	5	5	5	5	5	5	5	5
x677	5	5	5	5	5	5	5	5
x684	5	5	5	5	5	5	5	5
x687	5	5	5	5	5	5	5	5
x701	5	5	5	5	5	5	5	5
x716	5	5	5	5	5	5	5	5
x729	5	5	5	5	5	5	5	5
x747	5	5	5	5	5	5	5	5
x788	5	5	5	5	5	5	5	5
x790	5	5	5	5	5	5	5	5
x798	5	5	5	5	5	5	5	5
x803	5	5	5	5	5	5	5	5
x806	5	5	5	5	5	5	5	5
x867	5	5	5	5	5	5	5	5
x870	5	5	5	5	5	5	5	5
x871	5	5	5	5	5	5	5	5
x882	5	5	5	5	5	5	5	5
x906	5	5	5	5	5	5	5	5
x913	5	5	5	5	5	5	5	5
x922	5	5	5	5	5	5	5	5
x923	5	5	5	5	5	5	5	5
x950	5	5	5	5	5	5	5	5
x996	5	5	5	5	5	5	5	5

(65, 4, 5), X=[2,14,26,47,55,63,66,102,120,122,146,163,164,214,219,230,231,249,254,255,300,302,328,352,366,374,375,387,392,393,418,420,421,447,463,466,469,473,561,590,608,624,627,634,678,704,739,744,757,764,770,796,805,809,827,831,833,850,867,899,926,971,974,976,987], Y=[3,18,34,36], Z=[1,6,21,29,48], RowPattern=Constant, ColumnPattern=Constant, ContextPattern=Constant, %Missings=0, %Noise=0, %Errors=0 PlaidCoherency=None

Context: 1
X	y3	y18	y34	y36
x2	3	3	3	3
x14	3	3	3	3
x26	3	3	3	3
x47	3	3	3	3
x55	3	3	3	3
x63	3	3	3	3
x66	3	3	3	3
x102	3	3	3	3
x120	3	3	3	3
x122	3	3	3	3
x146	3	3	3	3
x163	3	3	3	3
x164	3	3	3	3
x214	3	3	3	3
x219	3	3	3	3
x230	3	3	3	3
x231	3	3	3	3
x249	3	3	3	3
x254	3	3	3	3
x255	3	3	3	3
x300	3	3	3	3
x302	3	3	3	3
x328	3	3	3	3
x352	3	3	3	3
x366	3	3	3	3
x374	3	3	3	3
x375	3	3	3	3
x387	3	3	3	3
x392	3	3	3	3
x393	3	3	3	3
x418	3	3	3	3
x420	3	3	3	3
x421	3	3	3	3
x447	3	3	3	3
x463	3	3	3	3
x466	3	3	3	3
x469	3	3	3	3
x473	3	3	3	3
x561	3	3	3	3
x590	3	3	3	3
x608	3	3	3	3
x624	3	3	3	3
x627	3	3	3	3
x634	3	3	3	3
x678	3	3	3	3
x704	3	3	3	3
x739	3	3	3	3
x744	3	3	3	3
x757	3	3	3	3
x764	3	3	3	3
x770	3	3	3	3
x796	3	3	3	3
x805	3	3	3	3
x809	3	3	3	3
x827	3	3	3	3
x831	3	3	3	3
x833	3	3	3	3
x850	3	3	3	3
x867	3	3	3	3
x899	3	3	3	3
x926	3	3	3	3
x971	3	3	3	3
x974	3	3	3	3
x976	3	3	3	3
x987	3	3	3	3

Context: 6
X	y3	y18	y34	y36
x2	3	3	3	3
x14	3	3	3	3
x26	3	3	3	3
x47	3	3	3	3
x55	3	3	3	3
x63	3	3	3	3
x66	3	3	3	3
x102	3	3	3	3
x120	3	3	3	3
x122	3	3	3	3
x146	3	3	3	3
x163	3	3	3	3
x164	3	3	3	3
x214	3	3	3	3
x219	3	3	3	3
x230	3	3	3	3
x231	3	3	3	3
x249	3	3	3	3
x254	3	3	3	3
x255	3	3	3	3
x300	3	3	3	3
x302	3	3	3	3
x328	3	3	3	3
x352	3	3	3	3
x366	3	3	3	3
x374	3	3	3	3
x375	3	3	3	3
x387	3	3	3	3
x392	3	3	3	3
x393	3	3	3	3
x418	3	3	3	3
x420	3	3	3	3
x421	3	3	3	3
x447	3	3	3	3
x463	3	3	3	3
x466	3	3	3	3
x469	3	3	3	3
x473	3	3	3	3
x561	3	3	3	3
x590	3	3	3	3
x608	3	3	3	3
x624	3	3	3	3
x627	3	3	3	3
x634	3	3	3	3
x678	3	3	3	3
x704	3	3	3	3
x739	3	3	3	3
x744	3	3	3	3
x757	3	3	3	3
x764	3	3	3	3
x770	3	3	3	3
x796	3	3	3	3
x805	3	3	3	3
x809	3	3	3	3
x827	3	3	3	3
x831	3	3	3	3
x833	3	3	3	3
x850	3	3	3	3
x867	3	3	3	3
x899	3	3	3	3
x926	3	3	3	3
x971	3	3	3	3
x974	3	3	3	3
x976	3	3	3	3
x987	3	3	3	3

Context: 21
X	y3	y18	y34	y36
x2	3	3	3	3
x14	3	3	3	3
x26	3	3	3	3
x47	3	3	3	3
x55	3	3	3	3
x63	3	3	3	3
x66	3	3	3	3
x102	3	3	3	3
x120	3	3	3	3
x122	3	3	3	3
x146	3	3	3	3
x163	3	3	3	3
x164	3	3	3	3
x214	3	3	3	3
x219	3	3	3	3
x230	3	3	3	3
x231	3	3	3	3
x249	3	3	3	3
x254	3	3	3	3
x255	3	3	3	3
x300	3	3	3	3
x302	3	3	3	3
x328	3	3	3	3
x352	3	3	3	3
x366	3	3	3	3
x374	3	3	3	3
x375	3	3	3	3
x387	3	3	3	3
x392	3	3	3	3
x393	3	3	3	3
x418	3	3	3	3
x420	3	3	3	3
x421	3	3	3	3
x447	3	3	3	3
x463	3	3	3	3
x466	3	3	3	3
x469	3	3	3	3
x473	3	3	3	3
x561	3	3	3	3
x590	3	3	3	3
x608	3	3	3	3
x624	3	3	3	3
x627	3	3	3	3
x634	3	3	3	3
x678	3	3	3	3
x704	3	3	3	3
x739	3	3	3	3
x744	3	3	3	3
x757	3	3	3	3
x764	3	3	3	3
x770	3	3	3	3
x796	3	3	3	3
x805	3	3	3	3
x809	3	3	3	3
x827	3	3	3	3
x831	3	3	3	3
x833	3	3	3	3
x850	3	3	3	3
x867	3	3	3	3
x899	3	3	3	3
x926	3	3	3	3
x971	3	3	3	3
x974	3	3	3	3
x976	3	3	3	3
x987	3	3	3	3

Context: 29
X	y3	y18	y34	y36
x2	3	3	3	3
x14	3	3	3	3
x26	3	3	3	3
x47	3	3	3	3
x55	3	3	3	3
x63	3	3	3	3
x66	3	3	3	3
x102	3	3	3	3
x120	3	3	3	3
x122	3	3	3	3
x146	3	3	3	3
x163	3	3	3	3
x164	3	3	3	3
x214	3	3	3	3
x219	3	3	3	3
x230	3	3	3	3
x231	3	3	3	3
x249	3	3	3	3
x254	3	3	3	3
x255	3	3	3	3
x300	3	3	3	3
x302	3	3	3	3
x328	3	3	3	3
x352	3	3	3	3
x366	3	3	3	3
x374	3	3	3	3
x375	3	3	3	3
x387	3	3	3	3
x392	3	3	3	3
x393	3	3	3	3
x418	3	3	3	3
x420	3	3	3	3
x421	3	3	3	3
x447	3	3	3	3
x463	3	3	3	3
x466	3	3	3	3
x469	3	3	3	3
x473	3	3	3	3
x561	3	3	3	3
x590	3	3	3	3
x608	3	3	3	3
x624	3	3	3	3
x627	3	3	3	3
x634	3	3	3	3
x678	3	3	3	3
x704	3	3	3	3
x739	3	3	3	3
x744	3	3	3	3
x757	3	3	3	3
x764	3	3	3	3
x770	3	3	3	3
x796	3	3	3	3
x805	3	3	3	3
x809	3	3	3	3
x827	3	3	3	3
x831	3	3	3	3
x833	3	3	3	3
x850	3	3	3	3
x867	3	3	3	3
x899	3	3	3	3
x926	3	3	3	3
x971	3	3	3	3
x974	3	3	3	3
x976	3	3	3	3
x987	3	3	3	3

Context: 48
X	y3	y18	y34	y36
x2	3	3	3	3
x14	3	3	3	3
x26	3	3	3	3
x47	3	3	3	3
x55	3	3	3	3
x63	3	3	3	3
x66	3	3	3	3
x102	3	3	3	3
x120	3	3	3	3
x122	3	3	3	3
x146	3	3	3	3
x163	3	3	3	3
x164	3	3	3	3
x214	3	3	3	3
x219	3	3	3	3
x230	3	3	3	3
x231	3	3	3	3
x249	3	3	3	3
x254	3	3	3	3
x255	3	3	3	3
x300	3	3	3	3
x302	3	3	3	3
x328	3	3	3	3
x352	3	3	3	3
x366	3	3	3	3
x374	3	3	3	3
x375	3	3	3	3
x387	3	3	3	3
x392	3	3	3	3
x393	3	3	3	3
x418	3	3	3	3
x420	3	3	3	3
x421	3	3	3	3
x447	3	3	3	3
x463	3	3	3	3
x466	3	3	3	3
x469	3	3	3	3
x473	3	3	3	3
x561	3	3	3	3
x590	3	3	3	3
x608	3	3	3	3
x624	3	3	3	3
x627	3	3	3	3
x634	3	3	3	3
x678	3	3	3	3
x704	3	3	3	3
x739	3	3	3	3
x744	3	3	3	3
x757	3	3	3	3
x764	3	3	3	3
x770	3	3	3	3
x796	3	3	3	3
x805	3	3	3	3
x809	3	3	3	3
x827	3	3	3	3
x831	3	3	3	3
x833	3	3	3	3
x850	3	3	3	3
x867	3	3	3	3
x899	3	3	3	3
x926	3	3	3	3
x971	3	3	3	3
x974	3	3	3	3
x976	3	3	3	3
x987	3	3	3	3

(94, 9, 6), X=[7,18,19,27,70,74,80,82,101,119,129,138,149,155,163,171,213,221,231,238,245,267,269,275,288,289,293,308,315,329,337,369,385,408,409,442,443,456,461,469,510,530,532,533,538,553,555,559,569,575,594,595,597,602,603,609,635,636,667,677,683,699,716,720,733,746,758,769,773,782,793,798,812,825,828,844,847,859,865,868,870,882,890,891,899,904,918,925,927,932,973,988,997,999], Y=[10,22,24,31,35,38,39,44,49], Z=[3,18,19,30,37,42], RowPattern=Constant, ColumnPattern=Constant, ContextPattern=Constant, %Missings=0, %Noise=0, %Errors=0 PlaidCoherency=None

Context: 3
X	y10	y22	y24	y31	y35	y38	y39	y44	y49
x7	3	3	3	3	3	3	3	3	3
x18	3	3	3	3	3	3	3	3	3
x19	3	3	3	3	3	3	3	3	3
x27	3	3	3	3	3	3	3	3	3
x70	3	3	3	3	3	3	3	3	3
x74	3	3	3	3	3	3	3	3	3
x80	3	3	3	3	3	3	3	3	3
x82	3	3	3	3	3	3	3	3	3
x101	3	3	3	3	3	3	3	3	3
x119	3	3	3	3	3	3	3	3	3
x129	3	3	3	3	3	3	3	3	3
x138	3	3	3	3	3	3	3	3	3
x149	3	3	3	3	3	3	3	3	3
x155	3	3	3	3	3	3	3	3	3
x163	3	3	3	3	3	3	3	3	3
x171	3	3	3	3	3	3	3	3	3
x213	3	3	3	3	3	3	3	3	3
x221	3	3	3	3	3	3	3	3	3
x231	3	3	3	3	3	3	3	3	3
x238	3	3	3	3	3	3	3	3	3
x245	3	3	3	3	3	3	3	3	3
x267	3	3	3	3	3	3	3	3	3
x269	3	3	3	3	3	3	3	3	3
x275	3	3	3	3	3	3	3	3	3
x288	3	3	3	3	3	3	3	3	3
x289	3	3	3	3	3	3	3	3	3
x293	3	3	3	3	3	3	3	3	3
x308	3	3	3	3	3	3	3	3	3
x315	3	3	3	3	3	3	3	3	3
x329	3	3	3	3	3	3	3	3	3
x337	3	3	3	3	3	3	3	3	3
x369	3	3	3	3	3	3	3	3	3
x385	3	3	3	3	3	3	3	3	3
x408	3	3	3	3	3	3	3	3	3
x409	3	3	3	3	3	3	3	3	3
x442	3	3	3	3	3	3	3	3	3
x443	3	3	3	3	3	3	3	3	3
x456	3	3	3	3	3	3	3	3	3
x461	3	3	3	3	3	3	3	3	3
x469	3	3	3	3	3	3	3	3	3
x510	3	3	3	3	3	3	3	3	3
x530	3	3	3	3	3	3	3	3	3
x532	3	3	3	3	3	3	3	3	3
x533	3	3	3	3	3	3	3	3	3
x538	3	3	3	3	3	3	3	3	3
x553	3	3	3	3	3	3	3	3	3
x555	3	3	3	3	3	3	3	3	3
x559	3	3	3	3	3	3	3	3	3
x569	3	3	3	3	3	3	3	3	3
x575	3	3	3	3	3	3	3	3	3
x594	3	3	3	3	3	3	3	3	3
x595	3	3	3	3	3	3	3	3	3
x597	3	3	3	3	3	3	3	3	3
x602	3	3	3	3	3	3	3	3	3
x603	3	3	3	3	3	3	3	3	3
x609	3	3	3	3	3	3	3	3	3
x635	3	3	3	3	3	3	3	3	3
x636	3	3	3	3	3	3	3	3	3
x667	3	3	3	3	3	3	3	3	3
x677	3	3	3	3	3	3	3	3	3
x683	3	3	3	3	3	3	3	3	3
x699	3	3	3	3	3	3	3	3	3
x716	3	3	3	3	3	3	3	3	3
x720	3	3	3	3	3	3	3	3	3
x733	3	3	3	3	3	3	3	3	3
x746	3	3	3	3	3	3	3	3	3
x758	3	3	3	3	3	3	3	3	3
x769	3	3	3	3	3	3	3	3	3
x773	3	3	3	3	3	3	3	3	3
x782	3	3	3	3	3	3	3	3	3
x793	3	3	3	3	3	3	3	3	3
x798	3	3	3	3	3	3	3	3	3
x812	3	3	3	3	3	3	3	3	3
x825	3	3	3	3	3	3	3	3	3
x828	3	3	3	3	3	3	3	3	3
x844	3	3	3	3	3	3	3	3	3
x847	3	3	3	3	3	3	3	3	3
x859	3	3	3	3	3	3	3	3	3
x865	3	3	3	3	3	3	3	3	3
x868	3	3	3	3	3	3	3	3	3
x870	3	3	3	3	3	3	3	3	3
x882	3	3	3	3	3	3	3	3	3
x890	3	3	3	3	3	3	3	3	3
x891	3	3	3	3	3	3	3	3	3
x899	3	3	3	3	3	3	3	3	3
x904	3	3	3	3	3	3	3	3	3
x918	3	3	3	3	3	3	3	3	3
x925	3	3	3	3	3	3	3	3	3
x927	3	3	3	3	3	3	3	3	3
x932	3	3	3	3	3	3	3	3	3
x973	3	3	3	3	3	3	3	3	3
x988	3	3	3	3	3	3	3	3	3
x997	3	3	3	3	3	3	3	3	3
x999	3	3	3	3	3	3	3	3	3

Context: 18
X	y10	y22	y24	y31	y35	y38	y39	y44	y49
x7	3	3	3	3	3	3	3	3	3
x18	3	3	3	3	3	3	3	3	3
x19	3	3	3	3	3	3	3	3	3
x27	3	3	3	3	3	3	3	3	3
x70	3	3	3	3	3	3	3	3	3
x74	3	3	3	3	3	3	3	3	3
x80	3	3	3	3	3	3	3	3	3
x82	3	3	3	3	3	3	3	3	3
x101	3	3	3	3	3	3	3	3	3
x119	3	3	3	3	3	3	3	3	3
x129	3	3	3	3	3	3	3	3	3
x138	3	3	3	3	3	3	3	3	3
x149	3	3	3	3	3	3	3	3	3
x155	3	3	3	3	3	3	3	3	3
x163	3	3	3	3	3	3	3	3	3
x171	3	3	3	3	3	3	3	3	3
x213	3	3	3	3	3	3	3	3	3
x221	3	3	3	3	3	3	3	3	3
x231	3	3	3	3	3	3	3	3	3
x238	3	3	3	3	3	3	3	3	3
